# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.50000 0.2697553933 1.8880412579    0.270 -1.030  3.4827  3.781    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.344 8.636 10.375 7.369
0.0152 0.01508 6.50000 0.2922107577 1.9370464087    0.292 -0.983  3.4888  3.794    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.228 8.467 10.147 7.216
0.0152 0.01508 6.50000 0.3000000119 1.9529139996    0.300 -0.968  3.4907  3.798    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.191 8.415 10.078 7.169
0.0152 0.01508 6.50000 0.3254787922 2.0012934208    0.325 -0.918  3.4976  3.811    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.065 8.239 9.851 7.010
0.0152 0.01508 6.50000 0.3554904163 2.0523254871    0.356 -0.865  3.5048  3.825    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.933 8.057 9.615 6.844
0.0152 0.01508 6.50000 0.3987213373 2.1167371273    0.399 -0.792  3.5155  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.749 7.797 9.275 6.611
0.0152 0.01508 6.50000 0.4000000358 2.1185026169    0.400 -0.790  3.5157  3.845    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.744 7.790 9.266 6.605
0.0152 0.01508 6.50000 0.4040442705 2.1240382195    0.404 -0.783  3.5168  3.846    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.728 7.767 9.235 6.583
0.0152 0.01508 6.50000 0.4632345736 2.1976342201    0.463 -0.691  3.5311  3.871    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.497 7.434 8.792 6.290
0.0152 0.01508 6.50000 0.4991621673 2.2365896702    0.499 -0.640  3.5394  3.885    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.369 7.250 8.546 6.129
0.0152 0.01508 6.50000 0.5000000000 2.2374541759    0.500 -0.638  3.5396  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.366 7.245 8.540 6.125
0.0152 0.01508 6.50000 0.5004411936 2.2379086018    0.501 -0.638  3.5397  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.72e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.364 7.243 8.537 6.123
0.0152 0.01508 6.50000 0.5204924345 2.2576262951    0.520 -0.607  3.5451  3.893    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.92e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.287 7.128 8.381 6.025
0.0152 0.01508 6.50000 0.5419940352 2.2769172192    0.542 -0.578  3.5500  3.902    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.11e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.214 7.022 8.238 5.933
0.0152 0.01508 6.50000 0.5500000119 2.2836582661    0.550 -0.568  3.5516  3.905    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.16e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.191 6.987 8.192 5.904
