# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Wed Oct 20 04:51:27 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=3.1, with coefficients derived for the Sun, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.50000 0.2003560662 1.6950856447    0.200 -1.199  3.4617  3.738    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.768 11.884 14.516 9.898
0.0152 0.01508 6.50000 0.2151179612 1.7427845001    0.215 -1.153  3.4673  3.744    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.59e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.652 11.719 14.284 9.747
0.0152 0.01508 6.50000 0.2301564664 1.7871897221    0.230 -1.115  3.4718  3.754    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.557 11.582 14.092 9.623
0.0152 0.01508 6.50000 0.2454635501 1.8286733627    0.245 -1.084  3.4755  3.766    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.480 11.469 13.936 9.521
0.0152 0.01508 6.50000 0.2697553933 1.8880412579    0.270 -1.030  3.4827  3.781    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.344 11.269 13.655 9.342
0.0152 0.01508 6.50000 0.2922107577 1.9370464087    0.292 -0.983  3.4888  3.794    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.228 11.100 13.418 9.190
0.0152 0.01508 6.50000 0.3000000119 1.9529139996    0.300 -0.968  3.4907  3.798    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.191 11.047 13.344 9.143
0.0152 0.01508 6.50000 0.3254787922 2.0012934208    0.325 -0.918  3.4976  3.811    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.065 10.864 13.090 8.980
0.0152 0.01508 6.50000 0.3554904163 2.0523254871    0.356 -0.865  3.5048  3.825    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.933 10.671 12.822 8.810
0.0152 0.01508 6.50000 0.3987213373 2.1167371273    0.399 -0.792  3.5155  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.749 10.398 12.446 8.570
0.0152 0.01508 6.50000 0.4000000358 2.1185026169    0.400 -0.790  3.5157  3.845    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.744 10.391 12.436 8.564
0.0152 0.01508 6.50000 0.4040442705 2.1240382195    0.404 -0.783  3.5168  3.846    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.728 10.366 12.401 8.542
0.0152 0.01508 6.50000 0.4632345736 2.1976342201    0.463 -0.691  3.5311  3.871    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.497 10.016 11.919 8.240
0.0152 0.01508 6.50000 0.4991621673 2.2365896702    0.499 -0.640  3.5394  3.885    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.369 9.819 11.647 8.072
0.0152 0.01508 6.50000 0.5000000000 2.2374541759    0.500 -0.638  3.5396  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.366 9.815 11.641 8.068
0.0152 0.01508 6.50000 0.5004411936 2.2379086018    0.501 -0.638  3.5397  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.72e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.364 9.812 11.637 8.066
0.0152 0.01508 6.50000 0.5204924345 2.2576262951    0.520 -0.607  3.5451  3.893    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.92e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.287 9.692 11.474 7.965
0.0152 0.01508 6.50000 0.5419940352 2.2769172192    0.542 -0.578  3.5500  3.902    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.11e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.214 9.582 11.327 7.870
0.0152 0.01508 6.50000 0.5500000119 2.2836582661    0.550 -0.568  3.5516  3.905    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.16e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.191 9.546 11.280 7.840
0.0152 0.01508 6.50000 0.5712240338 2.3004825115    0.571 -0.538  3.5570  3.912    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.39e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.114 9.430 11.125 7.740
0.0152 0.01508 6.50000 0.5969519019 2.3190433979    0.597 -0.503  3.5631  3.922    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.029 9.303 10.961 7.632
0.0152 0.01508 6.50000 0.6000000238 2.3211214542    0.600 -0.500  3.5638  3.923    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.019 9.289 10.943 7.620
0.0152 0.01508 6.50000 0.6128938794 2.3296494484    0.613 -0.483  3.5669  3.928    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.8e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.978 9.227 10.863 7.568
0.0152 0.01508 6.50000 0.6386827826 2.3455245495    0.639 -0.450  3.5729  3.937    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.06e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.895 9.126 10.746 7.474
0.0152 0.01508 6.50000 0.6499999762 2.3520355225    0.650 -0.436  3.5755  3.941    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.18e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.860 9.092 10.715 7.439
0.0152 0.01508 6.50000 0.6636940241 2.3595733643    0.664 -0.418  3.5787  3.945    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.34e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.816 9.052 10.678 7.396
0.0152 0.01508 6.50000 0.6911630034 2.3736634254    0.691 -0.383  3.5850  3.953    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.68e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.728 8.960 10.579 7.308
0.0152 0.01508 6.50000 0.7000000477 2.3779268265    0.700 -0.373  3.5870  3.956    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.78e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.701 8.913 10.503 7.277
0.0152 0.01508 6.50000 0.7247626781 2.3892393112    0.725 -0.313  3.6054  3.984    0  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1  -7.4e-14      0.00 7.092e-01 2.755e-01 2.728e-03 7.404e-04 6.719e-03 -1.000 1.527e-02 5.552 8.609 9.997 7.085
0.0152 0.01508 6.50000 0.7500000000 2.3998889923    0.750 -0.249  3.6244  4.012    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.17e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.393 8.347 9.648 6.884
0.0152 0.01508 6.50000 0.7602254748 2.4039733410    0.760 -0.241  3.6256  4.014    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.26e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.372 8.319 9.615 6.860
0.0152 0.01508 6.50000 0.7998337746 2.4186663628    0.800 -0.206  3.6301  4.019    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.68e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.284 8.209 9.488 6.762
0.0152 0.01508 6.50000 0.8000000119 2.4187245369    0.800 -0.205  3.6301  4.019    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.68e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.284 8.208 9.488 6.762
0.0152 0.01508 6.50000 0.8044449091 2.4202692509    0.804 -0.202  3.6306  4.020    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.275 8.197 9.475 6.752
0.0152 0.01508 6.50000 0.8500000238 2.4350347519    0.850 -0.163  3.6356  4.025    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.178 8.076 9.336 6.644
0.0152 0.01508 6.50000 0.8525712490 2.4358143806    0.852 -0.161  3.6359  4.025    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.25e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.173 8.070 9.329 6.639
0.0152 0.01508 6.50000 0.9000000358 2.4492788315    0.899 -0.121  3.6409  4.029    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.83e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.072 7.945 9.186 6.527
0.0152 0.01508 6.50000 0.9500000477 2.4618122578    0.950 -0.081  3.6460  4.033    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.973 7.822 9.047 6.418
0.0152 0.01508 6.50000 0.9809569716 2.4688401222    0.981 -0.058  3.6491  4.036    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.915 7.749 8.964 6.353
0.0152 0.01508 6.50000 1.0000000000 2.4729156494    1.000 -0.042  3.6511  4.037    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.876 7.701 8.909 6.309
0.0152 0.01508 6.50000 1.0375319719 2.4804465771    1.037 -0.015  3.6547  4.039    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.807 7.616 8.812 6.234
0.0152 0.01508 6.50000 1.0499999523 2.4828116894    1.050 -0.005  3.6559  4.040    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.784 7.588 8.781 6.208
