source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error
3349953033504446336,88.03545154522544,17.257210706628744,0.4835227323423115,0.018532027,9.4941635,10.354607,8.588573,1.7660332,0.8604431,0.90559006,52.691757,0.11858362
3350658125395928064,90.04839174424154,19.192669472847793,0.4687845140805162,0.024679305,9.494966,9.895643,8.900826,0.9948168,0.40067768,0.5941391,,
3397107994841380736,83.60416157439026,17.31095321007946,0.6694978724408422,0.023394449,9.495118,10.753641,8.400594,2.3530474,1.258523,1.0945244,-18.050896,0.424491
3399143736322569600,86.28763856065511,18.92745808403539,0.8746061853315991,0.016505353,9.496898,10.38693,8.572213,1.8147173,0.89003277,0.9246845,,
3428855774619276544,86.16566895256442,25.488019704876486,0.9213291872361655,0.018089786,9.499225,9.551484,9.360228,0.19125652,0.052259445,0.13899708,,
3443365617253133568,86.42654037850133,28.63045917477361,0.6114832292727477,0.017758332,9.499892,10.356393,8.593198,1.763195,0.8565006,0.9066944,3.3786283,0.17423707
3399683051074251264,87.21007144400376,19.92542962239187,0.7752398283262626,0.024370613,9.500201,9.525388,9.408404,0.11698341,0.025186539,0.091796875,,
3399418820387937280,85.56800312226412,19.40900665040301,0.7333513908056327,0.025557907,9.501914,10.540354,8.500537,2.0398169,1.0384398,1.0013771,26.917974,0.18570654
3441852792332358528,86.09699899840489,28.301139959932577,0.8335650857074904,0.018288745,9.505277,10.557741,8.4984665,2.0592747,1.0524645,1.0068102,-11.932779,0.22203122
3422943249622276352,90.9810957875193,20.89128930969033,0.7511719471801065,0.018892502,9.505708,10.477022,8.540632,1.9363899,0.97131443,0.9650755,14.067442,0.5144354
3440929202565410816,85.56585930725375,25.783756411474396,0.7998022300909803,0.025168084,9.506645,9.528545,9.423068,0.10547733,0.021900177,0.083577156,,
3398824809233376256,87.96641229386077,19.15528683936214,0.7230413964315,0.019691976,9.510132,10.6450205,8.463786,2.1812344,1.1348886,1.0463457,29.449276,0.18502253
3397968633271358976,87.27063664074781,17.10093214191294,0.6241400677596306,0.024678053,9.514876,10.587671,8.496314,2.0913572,1.0727949,1.0185623,46.87286,1.4175398
3429259776422694784,86.92256133562073,25.97533187646253,0.8725874872593311,0.069532566,9.520009,9.622315,9.295232,0.3270836,0.102306366,0.22477722,,
3416562341265952000,82.72264413318732,23.57107813431117,0.5033585022265323,0.068591505,9.521123,12.615292,8.032026,4.5832653,3.0941687,1.4890966,,
3399288047223704064,86.74469049755162,19.458080318484843,0.5234884168269894,0.026091354,9.523906,11.034363,8.337145,2.697218,1.510457,1.1867609,40.962852,0.38089636
3415397339976857728,77.42811186187173,23.034491439013735,0.7609719300627285,0.045741025,9.525872,12.01575,8.10547,3.9102802,2.4898777,1.4204025,,
3403877069458736896,82.29946025618231,21.417478458800986,0.6282498756436061,0.028771967,9.525997,11.036407,8.333914,2.7024937,1.5104103,1.1920834,-41.293003,1.3742858
3397066831875247616,83.47830401841752,16.995788517280445,0.6898818652502824,0.023856252,9.526323,10.778666,8.434404,2.3442612,1.2523422,1.091919,79.71473,0.1706415
3430747003338138496,88.44566366125161,26.992807459215577,0.6949066637524276,0.020006368,9.532286,10.707994,8.474423,2.233571,1.1757088,1.0578623,48.84306,0.32153553
3424288227221225728,88.50741282810735,22.108169906928246,0.2413192637476075,0.018664455,9.532332,9.776507,9.100709,0.6757984,0.24417496,0.43162346,,
3429349794640238720,86.43545889859162,26.560247049988654,0.6040614031295861,0.018402584,9.53403,9.624103,9.3241415,0.2999611,0.09007263,0.20988846,,
3428067764083131008,89.07713702768423,24.90315165757224,0.5773497425361951,0.023188055,9.540728,11.121953,8.337529,2.7844238,1.5812254,1.2031984,,
3400331934731840768,81.56860892858994,17.869396827731627,0.5314986070100836,0.044250567,9.551979,11.708121,8.205945,3.5021763,2.1561422,1.346034,8.95451,0.4833669
3424446217594876416,89.92099287494361,22.386269797292243,0.9285627485896676,0.01735069,9.552306,10.536189,8.580527,1.9556618,0.9838829,0.97177887,41.0143,0.45497122
3403013093837591168,84.55253102971758,21.755176240924598,0.8219532096804756,0.027848097,9.559966,11.271778,8.3067255,2.9650526,1.711812,1.2532406,14.523243,0.66472405
3397783885253998720,83.39684316880836,18.348967534059664,0.5217106736211669,0.056447387,9.560793,12.241167,8.1156845,4.1254826,2.6803741,1.4451084,,
3396747213291526912,86.39928162285912,17.607448137892746,0.6166319558467485,0.017536163,9.563389,10.608046,8.562088,2.0459576,1.0446568,1.0013008,,
3414348131005611008,80.43973574925116,21.402175130508475,0.4877731182495039,0.06477061,9.565051,12.309149,8.13387,4.1752787,2.7440977,1.431181,,
3424654884285838848,90.13431051205134,23.265175189706746,0.9613149595316054,0.031970955,9.5665245,9.7185335,9.272957,0.44557667,0.15200901,0.29356766,,
3424637773136532224,90.36690750251796,23.14096664477874,0.9177336160613776,0.042625986,9.570914,9.6545105,9.377078,0.27743244,0.08359623,0.19383621,,
3348246346640505472,86.01493746339987,15.82620919619426,0.89954411378166,0.01993216,9.573474,10.537423,8.609716,1.9277067,0.9639492,0.9637575,-44.723133,0.33780387
3403719873655951744,82.75771996499694,21.625153478619968,0.8413528751967857,0.02353202,9.573915,10.512802,8.621075,1.8917274,0.9388876,0.95283985,26.87461,0.4783214
3397320509822473472,83.01740205294672,17.55556198994533,0.7632857977730125,0.022968613,9.574586,10.635501,8.5619335,2.0735674,1.060915,1.0126524,,
3429819737079219712,89.94849248352497,25.95436244400646,0.6514569715192722,0.0365675,9.576546,11.147138,8.374705,2.7724323,1.5705919,1.2018404,,
3418206072493965056,81.70242611991294,26.822443692169646,0.5886210061134722,0.039213363,9.580517,11.821441,8.223742,3.5976992,2.240924,1.3567753,,
3445475919367328640,82.17712589803683,28.5828571558364,0.7494882300209966,0.030425545,9.586066,11.013675,8.433563,2.5801115,1.4276085,1.152503,-12.100439,0.5301153
3415583226162006784,79.3017036717513,23.087012229581145,0.9335850855054725,0.020056242,9.594602,10.931729,8.473389,2.4583406,1.3371277,1.121213,14.222806,0.4602907
3397287210939316352,82.86718868292648,17.3559551657632,0.8694004000332717,0.018144289,9.597771,10.736482,8.550849,2.1856327,1.138711,1.0469217,14.648555,0.11161011
3430934641869760128,88.28937463558621,27.04449094905356,0.618634583684577,0.014947331,9.599006,9.903223,9.0976305,0.80559254,0.30421734,0.5013752,,
3408708014312119424,76.47317306070997,20.073909972221813,0.6654542643397269,0.020050723,9.599285,10.966074,8.46969,2.4963837,1.3667889,1.1295948,55.082382,0.4163509
3400904642850801792,82.81276907113488,19.063837665936546,0.6850655398808103,0.02360789,9.600046,9.665001,9.432389,0.23261166,0.06495476,0.1676569,,
3403254711517268480,86.41938816026457,21.965473875347556,0.6833299219041459,0.032650672,9.6074505,9.656646,9.473429,0.18321705,0.04919529,0.13402176,,
3429935628180362368,89.72775759463535,26.231590664723544,0.3779191916114104,0.03926558,9.60828,11.740712,8.277535,3.4631767,2.132432,1.3307447,45.798016,0.327947
3427728736542445312,87.43131857186474,24.115576147264765,0.47124134420445174,0.06746615,9.6149235,12.619703,8.132969,4.4867344,3.0047798,1.4819546,,
3429049769702780160,87.41555577640005,25.685366223378555,0.569057698315267,0.024839643,9.615174,10.957799,8.4915695,2.4662294,1.3426247,1.1236048,8.293881,0.37780228
3404703455525291264,84.52030799775143,24.40709799344077,0.8273734393273791,0.026471185,9.61658,11.258701,8.382223,2.8764782,1.6421213,1.2343569,17.978949,0.12899391
3398531686303016320,88.71323513965889,18.34057312801486,0.7666319710898507,0.019502424,9.618843,10.03239,9.024506,1.007884,0.41354656,0.59433746,,
3416298733353070592,81.20586482093344,23.101798122706736,0.5276166138022444,0.078649566,9.620292,13.396228,8.098442,5.2977858,3.7759361,1.5218496,,
3398636311706992256,88.61731400654456,18.962770330161216,0.6566511440566691,0.014120176,9.621558,10.304562,8.821313,1.4832487,0.6830034,0.8002453,18.73996,0.2439372
3424504388631875840,89.8712570372338,22.580747488205063,0.8470074995916383,0.025689986,9.622396,10.802202,8.565543,2.236659,1.1798058,1.0568533,,
3421270445760298368,80.7086544792152,27.296710796263746,0.9859891818230312,0.034011476,9.624025,11.462889,8.357523,3.1053658,1.8388634,1.2665024,33.651913,0.33120415
